Date,Temp,线性回归,二次多项式回归,三次多项式回归,岭回归,随机森林,多层神经元
1981-01-01,20.7,16.171875,20.609375,20.699999999999513,15.957939505704884,18.55135182760754,15.870334
1981-01-02,17.9,16.265625,22.734375,17.899999999999977,16.155828468944406,18.08756606422924,16.030005
1981-01-03,18.8,15.359375,23.65625,18.799999999999862,15.643841584308296,18.128270055108246,15.212737
1981-01-04,14.6,15.296875,18.1875,14.600000000000168,15.496693386156494,17.47166247432889,17.25347
1981-01-05,15.8,15.015625,16.796875,15.800000000000047,15.25983016082738,17.280436366233232,17.636536
1981-01-06,15.8,15.453125,16.8125,15.800000000000106,15.777279721484831,16.783436379405828,17.762957
1981-01-07,15.8,15.234375,17.046875,15.800000000000038,15.859574069038544,16.71017271791681,17.835823
1981-01-08,17.4,15.234375,17.5,17.39999999999988,15.519688469777273,17.244002144575123,17.58009
1981-01-09,21.8,15.359375,20.265625,21.799999999999983,15.463898301124939,17.99779452124535,17.599958
1981-01-10,20.0,14.703125,17.640625,20.000000000000064,15.42260585687217,18.17545026228854,17.14942
1981-01-11,16.2,14.828125,16.796875,16.200000000000067,15.149614213952034,17.716224075508748,17.062841
1981-01-12,13.3,15.078125,16.9375,13.300000000000093,15.23931136650156,17.59801230606123,17.374994
1981-01-13,16.7,14.671875,16.578125,16.70000000000021,15.033012948997024,17.45885365405509,17.508919
1981-01-14,21.5,15.453125,19.859375,21.49999999999972,15.7945973769693,18.125458538315584,17.564447
1981-01-15,25.0,15.890625,19.5625,25.00000000000034,15.998595387456064,19.517750867538954,17.503569
1981-01-16,20.7,15.453125,19.46875,20.700000000000003,15.69160492885077,19.028967817011296,16.955963
1981-01-17,20.6,14.578125,18.5,20.600000000000307,15.237421098697297,19.44625878583327,16.62734
1981-01-18,24.8,14.703125,19.875,24.800000000000047,15.02319928862218,20.31444484847883,16.155998
1981-01-19,17.7,14.890625,18.015625,17.700000000000422,15.182748150961185,18.230958918863745,16.760508
1981-01-20,15.5,14.953125,17.296875,15.499999999999897,15.357086223089304,18.87585175236811,16.565489
1981-01-21,18.2,14.609375,18.1875,18.200000000000067,15.181242746899589,18.268252859861647,16.804804
1981-01-22,12.1,14.515625,15.265625,12.099999999999937,14.903625731627745,14.914399240493188,17.065107
1981-01-23,14.4,15.109375,15.671875,14.400000000000428,15.295718445390236,15.225343182326858,17.105982
